cell,t_cheap,t_full,affected,harm_rate,rho
KITTI mono RT-DETR 480->640 q_brake,0.15,0.35,3929,0.2708068210740647,0.3929137998393735
KITTI mono RT-DETR 480->640 q_brake,0.15,0.45,4056,0.2411242603550296,0.40230183267656133
KITTI mono RT-DETR 480->640 q_brake,0.15,0.55,4133,0.2269537865956932,0.41694620948255645
KITTI mono RT-DETR 480->640 q_brake,0.25,0.15,3258,0.5687538367096379,1.4181821932878549
KITTI mono RT-DETR 480->640 q_brake,0.25,0.25,3014,0.42700729927007297,0.7208072667763104
KITTI mono RT-DETR 480->640 q_brake,0.25,0.35,3148,0.3513341804320203,0.6160581869383605
KITTI mono RT-DETR 480->640 q_brake,0.25,0.45,3214,0.30367143746110764,0.5899872768442845
KITTI mono RT-DETR 480->640 q_brake,0.25,0.55,3245,0.28043143297380585,0.5907940654753417
KITTI mono RT-DETR 480->640 q_brake,0.35,0.15,3552,0.6461148648648649,1.8986486864928427
KITTI mono RT-DETR 480->640 q_brake,0.35,0.25,2950,0.5315254237288135,1.110691323723042
KITTI mono RT-DETR 480->640 q_brake,0.35,0.35,2735,0.4416819012797075,0.9042420609493527
