cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S0,test,0.25,0.25,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,6.211538461538462,0.6068566745583682,0.7345255202512108,236,108,0.4576271186440678,0.27647058823529413,0.6009615384615384,1.220610336124858,0.08694406128901135,1.9128353853149083,-0.010044909697735914,0.045532362056013596,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S1,all,0.25,0.43408203125,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,4.454170829170829,0.7927331856794415,0.6342507908498138,682,294,0.4310850439882698,0.3501182033096927,0.5045451341779289,0.49917182374894664,0.2246816319530405,1.2735167516699744,0.055082637718312906,0.10998310464605485,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S1,test,0.25,0.43408203125,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,4.4389140271493215,0.7552242609582059,0.6551173558997285,220,93,0.42272727272727273,0.2330508474576271,0.5780141843971631,1.2181064397560752,0.07142691122443295,1.934008084837265,-0.009930327838429365,0.04552973240742062,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S2,all,0.25,0.35,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,5.083791208791209,0.7410282233303038,0.6756116981213282,686,296,0.4314868804664723,0.3486646577107103,0.503761521617355,0.4665983113025707,0.16377686449622417,1.283255110596241,0.05867155374140076,0.10999506560370399,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S2,test,0.25,0.35,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,5.1218891402714934,0.6975871017613605,0.6972164564372771,224,96,0.42857142857142855,0.24074074074074073,0.5875,1.2187167764172329,0.07142691122443295,1.934008084837265,-0.009958691451553663,0.045532362056013596,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S3,all,0.25,0.29,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,5.660964035964036,0.6906447841528246,0.7004454582624976,691,301,0.4356005788712012,0.3510065761419967,0.509924859147369,0.46668133534179934,0.1778373795308078,1.2848792936880158,0.05866242150675912,0.10999506560370399,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S3,test,0.25,0.29,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,5.739253393665158,0.6435399625505075,0.7203150779711534,229,101,0.4410480349344978,0.25806451612903225,0.5974025974025974,1.2195135248458473,0.08028527269618631,1.9491620287527593,-0.009994969289472896,0.045532362056013596,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S4,all,0.1,0.1,8008,21,8.204295704295705,0.4489954337899543,0.6567604209257785,10.18518981018981,0.4299375942522958,0.7793798015881556,847,350,0.4132231404958678,0.32913372859025036,0.4873947948703069,0.644398330378317,0.30106412893440126,1.7651305186488773,0.03617575982219472,0.10173113039846368,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_traj,KITTI,traj,mono,True,S4,test,0.1,0.1,3536,6,8.462669683257918,0.41648843737468255,0.6852945872585023,10.173925339366516,0.3984711605281445,0.7865240300175634,307,128,0.4169381107491857,0.22340425531914893,0.5147540983606558,1.5242493255090985,0.11698917415336307,2.4253467316851913,-0.020875968066959637,0.03982068655345791,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S0,all,0.25,0.25,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,6.131993006993007,0.6535383362183077,0.7171447631754503,2606,1058,0.4059861857252494,0.32508869030051596,0.48454748294001726,0.4733476388336607,0.19656314792131327,0.8801887863348794,0.19595748180630174,0.37208127458562273,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S0,test,0.25,0.25,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,6.211538461538462,0.6068566745583682,0.7345255202512108,1427,636,0.4456902592852137,0.35161079579608084,0.5048732943469786,0.7323534945855782,0.2358522919951038,1.195285639149319,0.06674732669239616,0.2488215535210333,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S1,all,0.25,0.43408203125,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,4.454170829170829,0.7927331856794415,0.6342507908498138,2341,839,0.3583938487825716,0.2883543387635178,0.42413135665383694,0.4366189579975502,0.17142339116697927,0.7691953546459531,0.18615723919175145,0.3304286536339365,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S1,test,0.25,0.43408203125,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,4.4389140271493215,0.7552242609582059,0.6551173558997285,1251,505,0.40367705835331735,0.3686104233041215,0.4497929539993134,0.8239834255249986,0.3676488228161996,1.0415393478214947,0.03427206466760874,0.19448065051858246,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S2,all,0.25,0.35,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,5.083791208791209,0.7410282233303038,0.6756116981213282,2464,947,0.3843344155844156,0.3051889608593426,0.4533189090226209,0.4502871692304809,0.18829302513773324,0.831930038715022,0.1929087894369402,0.3509264813173416,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S2,test,0.25,0.35,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,5.1218891402714934,0.6975871017613605,0.6972164564372771,1335,573,0.42921348314606744,0.35879460717412226,0.48294862069611383,0.7764164555683164,0.25679649101767055,1.0955928631210634,0.04926455330437879,0.22000565254216478,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S3,all,0.25,0.29,8008,21,4.4968781218781215,0.7007025631057177,0.5658180722632292,5.660964035964036,0.6906447841528246,0.7004454582624976,2547,1016,0.3989006674519042,0.30337981011877635,0.47995190954556277,0.4730932138787606,0.1783350359057633,0.8539600804416556,0.19048666196122052,0.36151871066884983,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S3,test,0.25,0.29,3536,6,4.53591628959276,0.6689943263295717,0.5938581084677205,5.739253393665158,0.6435399625505075,0.7203150779711534,1383,608,0.4396240057845264,0.3595397890699904,0.49493243243243246,0.7686387917648921,0.2654776847694109,1.142153158463513,0.05407990813217364,0.2333251717848892,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S4,all,0.1,0.5,8008,21,8.204295704295705,0.4489954337899543,0.6567604209257785,3.9992507492507494,0.8280771872853306,0.5954722503174159,2756,853,0.3095065312046444,0.25047514560823303,0.38960364282301413,0.7413512406662771,0.32423213119481004,1.1753471482808198,0.08529306036151041,0.328157249481425,,,,,,,,,,,,,,,,,,,,,,
KITTI mono Y8 384->640 q_brake,KITTI,brake,mono,True,S4,test,0.1,0.5,3536,6,8.462669683257918,0.41648843737468255,0.6852945872585023,3.955316742081448,0.7973687973687974,0.6169567300015967,1506,523,0.3472775564409031,0.2675,0.48020304568527916,1.1654694040174443,0.5795843283598153,2.4362578031551188,-0.040723578584472175,0.2433285122054223,,,,,,,,,,,,,,,,,,,,,,
