section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.3,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.1,-0.0881142400443977,-0.0881142400443977,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.2,-0.11694134131496564,-0.1169413413149656,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.3,-0.1960278759287893,-0.1960278759287893,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.5,-0.08858975780058247,-0.0885897578005824,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.1,-0.19927357348384636,-0.1992735734838463,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.2,-0.27217026700911195,-0.2721702670091119,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.3,-0.32115391869936044,-0.3211539186993604,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.5,-0.20750827277334352,-0.2075082727733435,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.1,-0.3827030528175158,-0.3827030528175158,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.2,-0.19492650057422412,-0.1949265005742241,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.3,-0.2280835208480388,-0.2280835208480388,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.5,-0.18014403447599003,-0.18014403447599,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.1,-0.13606718568955953,-0.1360671856895595,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.2,-0.13168989212921844,-0.1316898921292184,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.3,-0.09415915062556901,-0.094159150625569,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.5,-0.09007432706844404,-0.090074327068444,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.1,-0.24128240479752192,-0.2412824047975219,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.2,-0.18104167183039654,-0.1810416718303965,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.3,-0.13888225328408726,-0.1388822532840872,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.5,-0.13778176495854674,-0.1377817649585467,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,dE_exact,0.1,0.03505215483519454,0.0350521548351945,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
