track,position,dist,convention,range_err_min,range_err_median,range_err_max,lat_err_median,lat_err_absmax
nuScenes,right edge,10.0,F,-0.11471253501763812,0.23197184951169803,0.23197184951169803,-0.13631405723149737,0.13631405723149737
nuScenes,right edge,10.0,G,-0.054612925755513686,-0.009840174111982236,-0.009840174111982236,0.0012896408730505016,0.04280977210662673
nuScenes,right edge,10.0,S,-1.897798767706064,-1.4879011637298003,-1.4879011637298003,-0.1994264258191345,0.1994264258191345
nuScenes,right edge,10.0,T,-0.175793082926063,0.2128900258102,0.2128900258102,-0.18348079340423418,0.18348079340423418
nuScenes,right edge,25.0,F,-0.6405099233530898,1.9954057736780975,1.9954057736780975,-1.1383123173615122,1.1383123173615122
nuScenes,right edge,25.0,G,-0.17122769710822183,-0.017638133036385284,-0.017638133036385284,0.006476672962564933,0.1111038780793443
nuScenes,right edge,25.0,S,-2.5091748785881975,0.2213518518860802,0.2213518518860802,-1.2964943694515458,1.2964943694515458
nuScenes,right edge,25.0,T,-0.7871691938081966,1.9221430414260787,1.9221430414260787,-1.2805487370366464,1.2805487370366464
nuScenes,right edge,50.0,F,-2.3406964355488427,9.506250626368498,9.506250626368498,-5.408611621701219,5.408611621701219
nuScenes,right edge,50.0,G,-0.3655677560664685,-0.03062880520395339,-0.03062880520395339,0.014078241327240448,0.22315635698796754
nuScenes,right edge,50.0,S,-4.347138858729494,7.627111682930938,7.627111682930938,-5.751170897123032,5.751170897123032
nuScenes,right edge,50.0,T,-2.625133173949493,9.327902872470936,9.327902872470936,-5.735225264708134,5.735225264708134
