task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_ade_truth,mono,uncertainty,0.1,0.0069944527900845975,-0.09155424600032577,0.11605412106307127,0.00032259718892251147
plannerC_ade_truth,mono,uncertainty,0.2,0.06681905993184252,-0.059490306464900854,0.1646685454869883,0.003550169000744677
plannerC_ade_truth,mono,uncertainty,0.3,0.07294686799300687,-0.08620777318798015,0.16465337080187767,0.0040351692095753275
plannerC_ade_truth,mono,uncertainty,0.5,0.06845268362464192,-0.1736621729175357,0.20122317188816802,0.0037869910397210285
plannerC_ade_truth,mono,criticality,0.1,-0.040596250696465046,-0.19410843709536596,0.09714669430203549,-0.001872374687271965
plannerC_ade_truth,mono,criticality,0.2,0.026294829691570657,-0.13893837563113268,0.16161561198550997,0.0013970727715429674
plannerC_ade_truth,mono,criticality,0.3,0.09276937106110479,-0.08582030004254645,0.2353098976452007,0.005131681729410577
plannerC_ade_truth,mono,criticality,0.5,0.0649297919087167,-0.1517661770185307,0.2523679047358004,0.0035920949647143562
plannerC_ade_truth,mono,perception_oracle_dE,0.1,0.10825859920559636,-0.08289420644756898,0.29416923065419615,0.0049930882126937364
plannerC_ade_truth,mono,perception_oracle_dE,0.2,0.13461985489673098,-0.06767831606319967,0.2980319336861285,0.007152498646742668
plannerC_ade_truth,mono,perception_oracle_dE,0.3,0.14985099085685846,-0.0602339530456518,0.3286823130305678,0.008289240113611417
plannerC_ade_truth,mono,perception_oracle_dE,0.5,0.21505640473280713,-0.04456549588352026,0.4196005392500888,0.011897512772816726
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.1,0.10825859920559636,-0.08289420644756898,0.29416923065419615,0.0049930882126937364
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.2,0.13461985489673098,-0.06767831606319967,0.2980319336861285,0.007152498646742668
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.3,0.14985099085685846,-0.0602339530456518,0.3286823130305678,0.008289240113611417
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.5,0.21505640473280713,-0.04456549588352026,0.4196005392500888,0.011897512772816726
plannerC_ade_truth,mono,multimetric_dE_oracle,0.1,0.0055639928304286575,-0.08753015221150394,0.0798352034911805,0.0002566217115405798
plannerC_ade_truth,mono,multimetric_dE_oracle,0.2,0.017339792833474785,-0.13057996829431856,0.11481111659545568,0.000921281967443558
plannerC_ade_truth,mono,multimetric_dE_oracle,0.3,0.021911096682211056,-0.1299949781702944,0.12598876358507866,0.0012120463168968703
plannerC_ade_truth,mono,multimetric_dE_oracle,0.5,0.050424509082803555,-0.13487695782288714,0.18779417785501348,0.002789622757904075
plannerC_ade_truth,mono,PKL_gain,0.1,0.461215061407397,0.2714889300058428,0.6136130198439151,0.021272097584198606
plannerC_ade_truth,mono,PKL_gain,0.2,0.42558680985638286,0.26278216212940286,0.5879218476924541,0.02261188800050643
plannerC_ade_truth,mono,PKL_gain,0.3,0.43247592485056846,0.27094358917450334,0.586085815717741,0.023923076944262014
plannerC_ade_truth,mono,PKL_gain,0.5,0.42619105873730845,0.25487764774902816,0.5789348263204854,0.02357806349123757
plannerC_ade_truth,mono,TIP_gain,0.1,0.4278534800583517,0.23852007469025144,0.5871581937685638,0.01973339932084504
plannerC_ade_truth,mono,TIP_gain,0.2,0.422239835771707,0.2550240934371962,0.5662922452359693,0.02243405964354013
plannerC_ade_truth,mono,TIP_gain,0.3,0.4267783239268348,0.2643866548555641,0.584570786589656,0.023607905307035562
plannerC_ade_truth,mono,TIP_gain,0.5,0.41888861741793376,0.2513582433838903,0.5742435068877974,0.023174072319814668
plannerC_ade_truth,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.046121862367822154
plannerC_ade_truth,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.053131082723491735
plannerC_ade_truth,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.05531655190408125
plannerC_ade_truth,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.055322754919104
