task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
lateral,oracle,uncertainty [scene-z],0.1,0.22534448483469996,-0.4277889512353549,0.436407575927273,0.016349778382327238
lateral,oracle,uncertainty [scene-z],0.2,0.031130173843526947,-1.3999418071318257,0.5093347204559092,0.0022586372314296423
lateral,oracle,uncertainty [scene-z],0.3,0.11474396750417076,-1.31457126606053,0.6030996503966569,0.008325202370842607
lateral,oracle,uncertainty [scene-z],0.5,0.07077007325885258,-1.2799012667198313,0.609777430768432,0.005134694176039267
lateral,oracle,criticality [scene-z],0.1,-0.22379611110955802,-1.5387574691567585,0.21206835003409208,-0.016237436750014118
lateral,oracle,criticality [scene-z],0.2,-0.16694846773801617,-1.7184330787129698,0.40855404454451166,-0.012112878869824272
lateral,oracle,criticality [scene-z],0.3,-0.003100860475374495,-1.543924511604593,0.5289397451743616,-0.00022498168350594585
lateral,oracle,criticality [scene-z],0.5,0.016414132813156224,-1.5513912286367033,0.5933059703125332,0.001190920798572235
lateral,oracle,perception_oracle_dE [scene-z],0.1,0.26213826859247547,0.006276474655447553,0.6472265292446371,0.01901933655113789
lateral,oracle,perception_oracle_dE [scene-z],0.2,0.05520938951758559,-1.0302363333033029,0.6957328707622634,0.0040056950313128205
lateral,oracle,perception_oracle_dE [scene-z],0.3,0.07472438280611894,-1.28840896128021,0.5903823262896295,0.0054215975133911935
lateral,oracle,perception_oracle_dE [scene-z],0.5,0.05441854807468648,-1.3160957749661264,0.5876953494057852,0.003948315848785034
lateral,oracle,best_dE_metric (E4_localization) [scene-z],0.1,0.32264195838711623,0.05783622806728868,0.7169704804129149,0.02340915740777473
lateral,oracle,best_dE_metric (E4_localization) [scene-z],0.2,0.1574040262139327,-0.97206597718055,0.6957328707622634,0.011420385757262341
lateral,oracle,best_dE_metric (E4_localization) [scene-z],0.3,0.1574040262139327,-0.97206597718055,0.6632654280864531,0.011420385757262341
lateral,oracle,best_dE_metric (E4_localization) [scene-z],0.5,0.08228981262823618,-1.2415790784888059,0.6445887837004691,0.005970504228589484
lateral,oracle,multimetric_dE_oracle [scene-z],0.1,-0.14859423199611405,-0.9220023858147328,0.1861867484015755,-0.01078119468426625
lateral,oracle,multimetric_dE_oracle [scene-z],0.2,-0.1136804396902184,-1.1504882388301558,0.2892688183632991,-0.008248038538435894
lateral,oracle,multimetric_dE_oracle [scene-z],0.3,-0.07651875361881968,-1.153378291493738,0.3100409728830571,-0.005551787365363359
lateral,oracle,multimetric_dE_oracle [scene-z],0.5,0.007095040041826762,-1.2466298624324517,0.4504620205627913,0.0005147777740497981
lateral,oracle,PKL_gain [scene-z],0.1,0.25287693321458127,-0.33533196282341293,0.6990572335277354,0.018347384091045287
lateral,oracle,PKL_gain [scene-z],0.2,0.09161955780577725,-0.9650658722638039,0.6226763722060604,0.006647420134156363
lateral,oracle,PKL_gain [scene-z],0.3,0.12103488545042118,-0.9461819528746684,0.6226763722060604,0.008781637389955892
lateral,oracle,PKL_gain [scene-z],0.5,0.13961572848612186,-0.9580777055632377,0.6239657452801445,0.010129762976492257
lateral,oracle,TIP_gain [scene-z],0.1,0.00800576414513345,-0.9794169773049836,0.5324593156342968,0.000580854994743398
lateral,oracle,TIP_gain [scene-z],0.2,0.01729618566298247,-1.1072804064055828,0.514092388130905,0.0012549177880114841
lateral,oracle,TIP_gain [scene-z],0.3,0.13233177306096258,-1.017577444163137,0.6226763722060604,0.009601278522854695
lateral,oracle,TIP_gain [scene-z],0.5,0.12304135154311356,-0.9409566426384762,0.6096340660541084,0.008927215729586609
