cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,history,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S0,all,0.25,0.25,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,4.177725118483412,0.5787010777084515,0.49871685201026517,273,108,0.3956043956043956,0.3179922538730635,0.46970827679782906,0.4070280287265681,0.27568167563307877,0.5763846516558361,0.16465509862245187,0.2776777092327792,0.4186046511627907,172.0,0.005635380553375443,0.04333552199606041,0.4,0.44907407407407407,216.0,0.029547475937566552,0.0380952380952381,0.36363636363636365,0.4835164835164835,273.0,0.029655641678929676,0.037011173184357544,0.381294964028777,0.43478260869565216,161.0,0.02163837205940621,0.048013245033112585,0.40559440559440557,171.0,88.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S0,test,0.25,0.25,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,3.1905759162303666,0.6160157531998687,0.4915792042958262,57,22,0.38596491228070173,0.288135593220339,0.48333333333333334,0.33857562035962147,0.137984338370017,0.9582745963145316,0.1649459304752566,0.24937987705403142,0.3548387096774194,31.0,0.0442693536048585,0.02459016393442623,0.3103448275862069,0.4146341463414634,41.0,0.04967468125488923,0.017543859649122806,0.2777777777777778,0.42105263157894735,57.0,0.057976624804597796,0.02512562814070352,0.3225806451612903,0.4,25.0,0.04614875007763688,0.031746031746031744,0.36363636363636365,37.0,24.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S1,all,0.25,0.498046875,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,2.593601895734597,0.7643901324805847,0.4099230111206159,224,81,0.36160714285714285,0.29850091647028015,0.4224429679265171,0.3386765281570794,0.2300942443861198,0.48533275310266893,0.15930473180807725,0.2408877630853481,0.4645669291338583,127.0,-0.011413406669664117,0.03896103896103896,0.41935483870967744,0.39644970414201186,169.0,0.024028132391479606,0.032281205164992825,0.3488372093023256,0.4260089686098655,223.0,0.028008459684453466,0.02973977695167286,0.35,0.4409448818897638,127.0,0.019920348000606828,0.03800475059382423,0.37209302325581395,150.0,82.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S1,test,0.25,0.498046875,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.095287958115183,0.7731134432783608,0.4068830851842812,51,17,0.3333333333333333,0.20586349924585218,0.470609243697479,0.19980934827015503,0.06155776166964318,0.6329682496658096,0.1794470676952668,0.22425539127124242,0.3448275862068966,29.0,0.04135074647084341,0.020080321285140562,0.2631578947368421,0.3333333333333333,36.0,0.059898156192214475,0.019943019943019943,0.2692307692307692,0.3333333333333333,51.0,0.07649887764373411,0.018518518518518517,0.2571428571428571,0.34615384615384615,26.0,0.08426387402128052,0.022857142857142857,0.26666666666666666,34.0,21.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S2,all,0.25,0.4,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.0906398104265405,0.7026068621813303,0.4495580268035358,238,88,0.3697478991596639,0.2999701195219123,0.43258560999473167,0.33848172018663475,0.23293167431837752,0.4852072110224691,0.17128084173463318,0.2589207992603876,0.4420289855072464,138.0,-0.014292501033166004,0.0425531914893617,0.42276422764227645,0.40217391304347827,184.0,0.026792626932134418,0.03656716417910448,0.35251798561151076,0.4050632911392405,237.0,0.04183149827791591,0.03297931805477921,0.3430232558139535,0.45112781954887216,133.0,0.006174059645902962,0.045,0.40540540540540543,150.0,80.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S2,test,0.25,0.4,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.4544502617801047,0.7226962457337884,0.4449597266292409,52,18,0.34615384615384615,0.2105050933786078,0.45099620493358633,0.20335264620672197,0.073931664222932,0.5421511547527068,0.18849255185112918,0.23660726537734925,0.3448275862068966,29.0,0.026916437622684967,0.023333333333333334,0.2916666666666667,0.38235294117647056,34.0,0.032267057822218705,0.023952095808383235,0.32,0.3269230769230769,52.0,0.07417822645495252,0.01948051948051948,0.2571428571428571,0.36,25.0,0.064438384334149,0.028985507246376812,0.3157894736842105,33.0,22.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S3,all,0.25,0.34,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.4410545023696684,0.6597228200051648,0.4695181066438551,253,95,0.37549407114624506,0.30525617667080446,0.4359126984126984,0.3656382484470586,0.23672925306317194,0.5326540287102084,0.1700423274727835,0.26805261675457814,0.4276315789473684,152.0,-0.00621863546306577,0.04253731343283582,0.40714285714285714,0.43915343915343913,189.0,0.020357969519052527,0.037480063795853266,0.3671875,0.44664031620553357,253.0,0.03164860393931534,0.037410926365795724,0.3684210526315789,0.4413793103448276,145.0,0.014356693044978625,0.04633920296570899,0.4,161.0,83.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S3,test,0.25,0.34,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.6848167539267016,0.6879875195007801,0.4639980473517208,55,20,0.36363636363636365,0.2549019607843137,0.4666666666666667,0.255562808296346,0.09461302045156036,0.7180116204340841,0.18564765534150562,0.24937987705403142,0.3225806451612903,31.0,0.04112087942383162,0.021212121212121213,0.25925925925925924,0.4473684210526316,38.0,0.0195620600795961,0.024539877300613498,0.36363636363636365,0.4,55.0,0.05463782164521088,0.02242152466367713,0.30303030303030304,0.36,25.0,0.06677775785463175,0.026785714285714284,0.3,36.0,23.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S4,all,0.45,0.4,shared,3376,85,1.5192535545023698,0.8305712614544746,0.25805531793555747,3.0906398104265405,0.7026068621813303,0.4495580268035358,232,94,0.4051724137931034,0.3227159629470056,0.4898336291038154,0.45162983920910094,0.2918000962036071,0.7326889175998141,0.13054700741096764,0.2380636598145371,0.4088397790055249,181.0,0.006362936416024596,0.042765084944346804,0.40555555555555556,0.38181818181818183,165.0,0.043580292418803054,0.03592314118629908,0.3524590163934426,0.40086206896551724,232.0,0.057980154925039704,0.03697078115682767,0.3668639053254438,0.3735632183908046,174.0,0.07124208732298098,0.04356992269852424,0.3712574850299401,156.0,80.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S4,test,0.45,0.4,shared,955,24,1.1979057591623037,0.8583916083916084,0.2536001952648279,2.4544502617801047,0.7226962457337884,0.4449597266292409,57,20,0.3508771929824561,0.2,0.4871875,0.2810977040651918,0.0912336430772317,0.8789106454263361,0.18738866676489807,0.2606594356764872,0.325,40.0,0.028197682988770453,0.0297029702970297,0.3076923076923077,0.35294117647058826,34.0,0.04311570455765037,0.023890784982935155,0.2692307692307692,0.3333333333333333,57.0,0.08179637522019893,0.02810304449648712,0.2857142857142857,0.3157894736842105,38.0,0.09587433793124539,0.035483870967741936,0.3055555555555556,41.0,24.0
