setting,pair,geometry,scheme,t_cheap,t_full,system,variant,n,affected,harmed,harmed_share_affected,harmed_share_all,rho,sum_V,all_full_reduction,oracle20_reduction,affected_same_action,note
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,lateral,memoryless,8008,154,86,0.5584415584415584,0.01073926073926074,1.1999551432744069,-9.516989123528983,-0.004785478119886131,0.023932758325295067,0.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,traj,own,8008,446,213,0.47757847533632286,0.0265984015984016,1.109126988097385,-99.88820946887577,-0.005660235157047185,0.05186833482470888,171.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,traj,shared,8008,266,143,0.5375939849624061,0.017857142857142856,1.114138429663965,-103.94756274459439,-0.00589026124569438,0.05160629301661071,0.0,
Y8 512->640|mono|S0,Y8 512->640,mono,S0,0.25,0.25,traj,memoryless,8008,266,142,0.5338345864661654,0.017732267732267732,1.113419400270292,-103.32881274459446,-0.0058581070519587095,0.051649956162685806,0.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,brake,own,8008,993,417,0.4199395770392749,0.05207292707292707,0.4693127324442111,884.6267146067305,0.15650530703213522,0.2949106123328676,358.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,brake,shared,8008,635,252,0.3968503937007874,0.03146853146853147,0.4673088384575038,877.7767146067304,0.15529342711095656,0.2915261943924108,0.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,brake,memoryless,8008,635,252,0.3968503937007874,0.03146853146853147,0.46286046814250914,881.7067146067304,0.15760705868100253,0.2934192129482241,0.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,lateral,own,8008,85,38,0.4470588235294118,0.004745254745254745,0.511743710217751,12.759817073268232,0.007405261981795234,0.015166751840714275,42.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,lateral,shared,8008,44,24,0.5454545454545454,0.002997002997002997,0.5302957267685161,10.959817073268237,0.006360617572655813,0.013541749426497371,0.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,lateral,memoryless,8008,48,29,0.6041666666666666,0.0036213786213786215,0.5411942759041518,10.65981707326824,0.00626026401614666,0.013644694665663853,0.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,traj,own,8008,93,22,0.23655913978494625,0.0027472527472527475,0.05644016821772451,324.9314620147908,0.10992996860833938,0.11650556213345188,38.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,traj,shared,8008,47,8,0.1702127659574468,0.000999000999000999,0.05096688477913346,326.018234914554,0.11029764279419563,0.11622106860678538,0.0,
Y8 512->640|oracle|S0,Y8 512->640,oracle,S0,0.25,0.25,traj,memoryless,8008,47,8,0.1702127659574468,0.000999000999000999,0.05064908661812822,325.83073491455394,0.11046252414350642,0.11635584122419591,0.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,brake,own,8008,3514,1522,0.4331246442800228,0.19005994005994006,0.6959858064947142,1419.7112106757313,0.13033626331479706,0.4264580233924039,1160.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,brake,shared,8008,2354,1040,0.44180118946474084,0.12987012987012986,0.7007510232636827,1376.241210675731,0.12634550989699628,0.42220866141281954,0.0,
