track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells,n_feasible
nuScenes,oracle,plan_ade,JC_ade,dE_exact,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,plan_ade,JC_ade,dE_E6_risk_weighted,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,plan_ade,JC_ade,PKL,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,plan_ade,JC_ade,TIP,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,plan_ade,JC_ade,random,0.2,16.5801677512718,752.0,True,0.0,none,0.2,-0.0058160707277055,-0.1229501645806868,0.0730929075034127,0.0,0.0,0.0,,cell,,
nuScenes,oracle,plan_ade,JC_ade,oracle,0.2,16.5801677512718,752.0,True,0.0,none,0.2,1.0,1.0,1.0,1.0120956076178775,0.9269070924965872,1.1229501645806867,,cell,,
nuScenes,oracle,plan_ade,JC_ade,gate_ridge,0.2,16.5801677512718,752.0,False,3.925717499981829,measured,,,,,,,,"infeasible: allocator overhead 3.9257 ms per input exceeds the budget headroom b - C_c = 3.8703 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm,0.2,16.5801677512718,752.0,False,21.37658250001095,measured,,,,,,,,"infeasible: allocator overhead 21.3766 ms per input exceeds the budget headroom b - C_c = 3.8703 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,plan_ade,JC_ade,uncertainty,0.2,16.5801677512718,752.0,True,0.2944104999755836,measured,0.1847859797267503,-0.0190587306702003,-0.4119080980859309,0.116499404336037,-0.0755795865513416,-0.3438640906067845,0.1098204035919235,,cell,,
nuScenes,oracle,plan_ade,JC_ade,criticality_cheap,0.2,16.5801677512718,752.0,True,1.4709314999947765,measured,0.1239878276646448,-0.226625938494429,-0.5129409743243795,0.0042230247171919,-0.2111903785205778,-0.4310283381258772,-0.0053938903411647,,cell,,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm_batched,0.2,16.5801677512718,752.0,True,3.5357949274881264,measured,0.0172835013923785,-0.0050518547855658,-0.0342758259423932,0.0240758697598691,0.0032561389896965,-0.0793577888308425,0.1161207211936503,,cell,,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.2,16.5801677512718,752.0,True,0.6491920000541995,measured,0.1664522146768704,-0.0602728217324485,-0.3760769603875757,0.1818647694463697,-0.0680131883899212,-0.3199224088017615,0.1808639468382861,,cell,,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.2,16.5801677512718,752.0,True,0.6491920000541995,measured,0.1664522146768704,-0.105665939698093,-0.2673962206215304,0.0651168588276021,-0.0992616103319535,-0.2176622578185181,0.0749310483737237,,cell,,
