track,geometry,system,target,n_test_frames,n_test_units,n_affected,rate_target,oracle_prize,all_cheap_loss,ndg_defined,undefined_reason,variant,signal,policy,available,rate_realised,rate_unit_min,rate_unit_max,gain,gain_share_all_cheap,ndg,tau,tie_p,ndg_lo,ndg_hi,boot_dropped,minus_random,minus_random_lo,minus_random_hi,budget_level,budget_ms,cheap_ms,full_ms,overhead_ms,feasible,note
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_mlp_reg,A,True,0.10677083333333333,0.0,0.3958333333333333,34.54511501648381,0.08292007459287111,0.2104456417576432,0.874865549,0.8000000000000043,0.15050468409135623,0.3082463396225573,319.0,0.05906812633180073,0.009648114122470075,0.15915940740423676,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_mlp_reg,B,True,0.08072916666666667,0.0,0.20833333333333334,45.324308102301984,0.10879381952903662,0.27611148786908707,0.874865549,0.8000000000000043,0.2209022086418033,0.3659861983722784,319.0,0.12433004107865106,0.07920760587714534,0.2157431550884837,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_mlp_reg,A,True,0.14583333333333334,0.0,0.3333333333333333,23.54769637520377,0.05652251379074785,0.1434503857702971,0.561992032,0.20000000000001705,0.12582110394719878,0.1547302463019746,319.0,0.0016453634273903535,-0.023439554899732623,0.014351443549089654,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_mlp_reg,B,True,0.1171875,0.0,0.20833333333333334,35.04769637520377,0.08412644150565052,0.21350732085527482,0.561992032,0.20000000000001705,0.18726841804270614,0.23029593239373394,319.0,0.07134706386011033,0.037088326175569036,0.08849893159779235,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,TEST,R1_mlp_reg,A_expected,True,0.20052083333333331,,,23.54769637520377,0.05652251379074785,0.1434503857702971,0.467548926,1.0,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,official,R1_mlp_clf,C,True,0.20052083333333334,,,-10.952303624796231,-0.02628926935396014,-0.06672041948463618,,,-0.12816304170845108,0.1547302463019746,319.0,-0.1542274779217666,-0.27472835919890104,0.014351443549089654,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_mlp_clf,A,True,0.078125,0.0,0.1388888888888889,11.324992682409459,0.027183850380611507,0.06899080671212239,0.005118436,0.8000000000000043,0.060512207172637944,0.07441572539395,319.0,-0.07363996448804856,-0.08874845167429346,-0.06596307735893495,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_mlp_clf,B,True,0.07291666666666667,0.0,0.125,11.324992682409459,0.027183850380611507,0.06899080671212239,0.005118436,0.8000000000000043,0.060512207172637944,0.07441572539395,319.0,-0.07477212314151047,-0.08966788469449916,-0.0673812754019916,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_mlp_clf,A,True,0.07552083333333333,0.0,0.1527777777777778,11.324992682409459,0.027183850380611507,0.06899080671212239,0.001726353,0.20000000000001705,-0.06253838001163062,0.14998141148570934,319.0,-0.06332450110131281,-0.21164307986530817,0.009602608732824397,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_mlp_clf,B,True,0.06770833333333333,0.0,0.125,11.324992682409459,0.027183850380611507,0.06899080671212239,0.001726353,0.20000000000001705,-0.06253838001163062,0.14998141148570934,319.0,-0.0644566597547747,-0.21278142329542532,0.008184410689767746,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,TEST,R1_mlp_clf,A_expected,True,0.20052083333333331,,,-10.95230362479623,-0.026289269353960133,-0.06672041948463617,0.000515328,1.0,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,official,R1_gbm_reg,C,True,0.20052083333333334,,,11.791715175836709,0.028304143769436282,0.07183403692296864,,,-0.0010691682643650807,0.08005828079167701,319.0,-0.07813900417869261,-0.1447585504132718,-0.06079828917720914,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_gbm_reg,A,True,0.18229166666666666,0.0,0.6666666666666666,-0.2089694042707665,-0.0005015979417492617,-0.0012730222599777008,0.350019107,0.8000000000000043,-0.004439923637929865,0.004388483225541477,319.0,-0.14545394778934348,-0.15270634551028064,-0.13917321767364615,,,,,,,
