section,track,unit,budget_level,budget,Cc,Cf,Cs,signal,eligible,feasible,share_cascade,share_skipping,ineligible_reason,geometry,system,target,k,n_test,n_units,coverage,n_positive,n_nonnegative,share_positive,share_nonnegative,share_skipping_exceeds_nonnegative,regime,denominator,oracle_same_k,oracle_capacity,oracle_same_k_over_capacity,gain_r2,gain_random,tie_frac_r2,ndg_r2,ndg_random,ndg_minus_random,all_cheap_loss,gain_share_all_cheap_r2,gain_share_all_cheap_random,n_draws,n_draws_oracle_nonpositive,gain_minus_random_mean,gain_minus_random_lo,gain_minus_random_hi,ndg_r2_lo,ndg_r2_hi,ndg_minus_random_lo,ndg_minus_random_hi,p_le_random,beats_random,loses_to_random,cascade_eta_shipped,cascade_minus_random_lo_shipped,cascade_minus_random_hi_shipped,convention
evaluation,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.3030549486338271,0.5146128051074592,,mono,plan_ade,JC_ade,386.0,752.0,24.0,1.0,228.0,527.0,0.30319148936170215,0.7007978723404256,False,at_capacity,oracle escalating the same k (budget-constrained),174.62928002449064,174.6292800244908,0.999999999999999,9.725696021909563,40.33764126885825,0.0025906735751295338,0.05569338670207881,0.23099013672392826,-0.17529675002184947,2978.375498800933,0.0032654364857033773,0.013543504264354113,1000.0,0.0,-27.067671948286105,-86.38279918334554,15.77317817553475,-0.29766398853704773,0.3129474381084723,-0.3160912670419583,0.1307601294662097,0.838,False,False,,,,module
evaluation,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.0030549486338271458,0.005187559856719355,,mono,plan_fde,JC_fde,3.0,752.0,24.0,1.0,96.0,667.0,0.1276595744680851,0.886968085106383,False,share_below_positives,oracle escalating the same k (budget-constrained),77.17474741743641,435.81315202942926,0.1770821900579655,4.7997323906898774,0.694747399200535,0.3333333333333333,0.06219304307830432,0.009002263336770802,0.05319077974153351,5729.766952419244,0.0008376837017190229,0.00012125229611776724,1000.0,0.0,2.9562523805907897,-1.7169449046690053,13.407658611981683,0.0,0.21346766498164915,-0.0218894933149024,0.20556585079074638,0.4,False,False,,,,module
evaluation,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.10305494863382716,0.17499597494029936,,mono,plan_fde,JC_fde,131.0,752.0,24.0,1.0,96.0,667.0,0.1276595744680851,0.886968085106383,False,at_capacity,oracle escalating the same k (budget-constrained),435.8131520294294,435.81315202942926,1.0000000000000002,30.791532820472085,30.337303098423362,0.007633587786259542,0.0706530600948748,0.06961080214572038,0.0010422579491544345,5729.766952419244,0.005373959024192278,0.0052946835971425035,1000.0,0.0,-5.313087428933521,-69.22659788063669,78.06733721487865,-0.09523563364399938,0.2476292669041703,-0.13824547465470496,0.23173014662434405,0.594,False,False,,,,module
evaluation,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.3030549486338271,0.5146128051074592,,mono,plan_fde,JC_fde,386.0,752.0,24.0,1.0,96.0,667.0,0.1276595744680851,0.886968085106383,False,at_capacity,oracle escalating the same k (budget-constrained),435.8131520294294,435.81315202942926,1.0000000000000002,66.67092049883145,89.39083203046886,0.0025906735751295338,0.15298051513215766,0.20511274525380208,-0.0521322301216444,5729.766952419244,0.01163588694836557,0.015601128767152722,1000.0,0.0,-19.010913746012264,-88.72820719407217,51.8419011302989,-0.25028620711437277,0.3836384461298288,-0.2302521263894083,0.14466366264764485,0.699,False,False,,,,module
evaluation,KITTI,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,,,0.04733588428240509,0.09225915125244705,,oracle,brake,J,326.0,3536.0,6.0,1.0,377.0,3329.0,0.10661764705882353,0.9414592760180995,False,share_below_positives,oracle escalating the same k (budget-constrained),1736.495712100792,1771.4023982227682,0.9802943215177998,128.1781339572605,113.57742328413308,0.003067484662576687,0.07381425307534571,0.0654061063857903,0.00840814668955541,4585.479391436285,0.02795304983741557,0.024768931138638883,1000.0,0.0,35.309770779600555,-93.82342528886588,150.7863919489106,0.03551043842966781,0.18178004575091977,-0.05424166335805654,0.1292270487882537,0.258,False,False,,,,module
evaluation,KITTI,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,,,0.14733588428240496,0.28716234710705574,,oracle,brake,J,1015.0,3536.0,6.0,1.0,377.0,3329.0,0.10661764705882353,0.9414592760180995,False,at_capacity,oracle escalating the same k (budget-constrained),1771.4023982227675,1771.4023982227682,0.9999999999999997,454.7587274128998,353.6229589981443,0.0009852216748768472,0.2567224295671922,0.1996288135055768,0.05709361606161543,4585.479391436285,0.09917364981776924,0.07711799112183576,1000.0,0.0,86.09466005021825,-62.456692585618676,388.4951924285297,0.05911752078171443,0.3490988863854779,-0.03799488358152006,0.16675753625470183,0.186,False,False,,,,module
evaluation,KITTI,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,,,0.34733588428240497,0.6769687388162737,,oracle,brake,J,2393.0,3536.0,6.0,1.0,377.0,3329.0,0.10661764705882353,0.9414592760180995,False,at_capacity,oracle escalating the same k (budget-constrained),1771.4023982227675,1771.4023982227682,0.9999999999999997,1100.2255041014273,833.714030426167,0.0004178854993731718,0.6211042195749954,0.47065197115157176,0.15045224842342367,4585.479391436285,0.23993685505515042,0.1818161110882296,1000.0,0.0,234.8640701611896,5.119269031829393,501.68763280768485,0.3365623070844314,0.6979577760592003,0.008514102549580807,0.22881583894451077,0.024,True,False,,,,module
evaluation,KITTI,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,,,0.04733588428240509,0.09225915125244705,,oracle,traj,JB,326.0,3536.0,6.0,1.0,92.0,3528.0,0.026018099547511313,0.997737556561086,False,at_capacity,oracle escalating the same k (budget-constrained),936.6881353720362,936.688135372036,1.0000000000000002,57.18568950106782,86.1470199713128,0.003067484662576687,0.061050938238215925,0.09196979946489522,-0.0309188612266793,1799.2805109286678,0.031782531491741886,0.047878593386669596,1000.0,0.0,-26.715039127780596,-123.8401616599927,27.78619022587163,0.0,0.32851038547537426,-0.09165054028250404,0.23833884862398486,0.704,False,False,,,,module
evaluation,KITTI,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,,,0.14733588428240496,0.28716234710705574,,oracle,traj,JB,1015.0,3536.0,6.0,1.0,92.0,3528.0,0.026018099547511313,0.997737556561086,False,at_capacity,oracle escalating the same k (budget-constrained),936.6881353720362,936.688135372036,1.0000000000000002,313.9165511451107,268.2184824260199,0.0009852216748768472,0.3351345440288176,0.28634768851800196,0.048786855510815616,1799.2805109286678,0.17446782157557414,0.14906985364254488,1000.0,0.0,52.02445611629044,-14.380326709657211,137.32070964460195,0.2575159056438411,0.6563600584704411,-0.028075745595665752,0.373107116542396,0.078,False,False,,,,module
evaluation,KITTI,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,,,0.34733588428240497,0.6769687388162737,,oracle,traj,JB,2393.0,3536.0,6.0,1.0,92.0,3528.0,0.026018099547511313,0.997737556561086,False,at_capacity,oracle escalating the same k (budget-constrained),936.6881353720362,936.688135372036,1.0000000000000002,615.237479124031,632.3614073354341,0.0004178854993731718,0.6568221117476516,0.6751034666242156,-0.018281354876563936,1799.2805109286678,0.3419352765659017,0.3514523741542955,1000.0,0.0,-29.797363250737337,-109.26600409279524,37.80425221161613,0.5482001615004558,0.7233237387533055,-0.12789642375473376,0.04985559877901165,0.762,False,False,,,,module
