track,geometry,system,target,signal,quota,n_test_units,n_test_frames,available,undefined_reason,all_cheap_loss,gain,gain_random,delta_vs_random,delta_lo_all_draws,delta_hi_all_draws,delta_share_all_cheap,delta_share_lo_all_draws,delta_share_hi_all_draws,beats_random_all_draws,ndg,ndg_official,ndg_lo_filtered,ndg_hi_filtered,ndg_draws_dropped_by_filter,delta_lo_filtered,delta_hi_filtered,beats_random_filtered,interval
nuPlan,n/a,idm,safety,R1_gbm_reg,0.3,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,2.9669501456872616,3.4949298670284716,-0.5279797213412101,-1.0578992044055173,0.7901337483882993,-0.0016178717713405742,-0.0032416874939506287,0.002421182169371262,False,,,,,380.0,-1.1425040847169285,0.9825163199284923,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_reg,0.3,9.0,384.0,,,391.74710064502096,0.0,3.5832029950888877,-3.5832029950888877,-10.943378115781483,0.5891543005218621,-0.00914672498964015,-0.027934803085365403,0.001503914897013419,False,0.0,0.0,-0.001969784705052111,0.0,341.0,-11.152171140310447,-2.8937789804708345,False,includes 0
nuPlan,n/a,idm,safety,R1_gbm_reg,0.5,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,6.428391982322401,5.8350133432127524,0.5933786391096483,-0.7916053810926227,6.759600171150131,0.001818271632655326,-0.0024256916475081463,0.020713231702672058,False,,,,,380.0,0.006762879016210071,7.711647567818422,True,includes 0
nuPlan,n/a,idm,scalar_J,R1_gbm_reg,0.5,9.0,384.0,,,391.74710064502096,-0.32641580017919214,5.9823910874527515,-6.308806887631944,-18.549729387545224,0.7122757468757068,-0.016104284823663894,-0.047351286983369247,0.0018182029827481245,False,-0.025209024497524733,-0.025209024497524733,-0.09915421879526821,0.048559844538904544,341.0,-18.792161375717768,-5.447542020130243,False,includes 0
nuPlan,n/a,idm,safety,R1_mlp_clf,0.1,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,1.1548463908441906,1.1548463908441906,0.0,0.0,4.440892098500626e-16,0.0,0.0,1.3608086968723466e-18,False,,,,,380.0,-1.6098233857064723e-16,4.440892098500626e-16,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_mlp_clf,0.1,9.0,384.0,,,391.74710064502096,12.133548376628191,1.1840149027250237,10.949533473903168,-0.07184492773000208,32.221056156649944,0.02795051566654737,-0.0001833961951772143,0.08224963529684637,False,0.9370714227081094,0.9370714227081094,0.838843917987336,0.9933568485298419,341.0,10.468804214266388,32.474462493281486,True,includes 0
nuPlan,n/a,idm,safety,R1_mlp_clf,0.2,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,2.3400834761842813,2.3400834761842813,0.0,-1.3877787807814457e-17,8.881784197001252e-16,0.0,-4.252527177726083e-20,2.7216173937446933e-18,False,,,,,380.0,-4.440892098500626e-16,8.881784197001252e-16,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_mlp_clf,0.2,9.0,384.0,,,391.74710064502096,12.140118608114037,2.399188092363864,9.740930515750172,-0.14495642580466378,28.741083114552392,0.024865354458811557,-0.00037002552301214115,0.07336642202898122,False,0.937578840322055,0.937578840322055,0.838843917987336,0.9937169054470574,341.0,9.140229118195084,28.85967416146926,True,includes 0
nuPlan,n/a,idm,safety,R1_mlp_clf,0.3,9.0,384.0,,near-zero oracle: 4 affected states on this split (< 10),326.3421308746392,3.4949298670284716,3.4949298670284716,0.0,-5.689893001203919e-17,1.7763568394002505e-15,0.0,-1.7435361428676917e-19,5.4432347874893866e-18,False,,,,,380.0,-4.440892098500626e-16,1.7763568394002505e-15,False,includes 0
nuPlan,n/a,idm,scalar_J,R1_mlp_clf,0.3,9.0,384.0,,,391.74710064502096,12.140118608114037,3.5832029950888877,8.556915613025149,-0.21780069028731047,25.22684036623534,0.021842958375278294,-0.000555972692404606,0.06439572960386623,False,0.937578840322055,0.937578840322055,0.8426511300321393,1.0,341.0,7.831147716161811,25.281165960290874,True,includes 0
