registry_version,track,geometry,system,target,signal,quota,k,n_frames,all_cheap_loss,identity_checked,benefit_share,benefit_share_lo,benefit_share_hi,harm_share,harm_share_lo,harm_share_hi,missed_benefit_share,missed_benefit_share_lo,missed_benefit_share_hi,budget_forced_share,budget_forced_share_lo,budget_forced_share_hi,gain_share,gain_share_lo,gain_share_hi,oracle_gain_share,oracle_gain_share_lo,oracle_gain_share_hi,benefit_minus_random,benefit_minus_random_lo,benefit_minus_random_hi,harm_minus_random,harm_minus_random_lo,harm_minus_random_hi,missed_benefit_minus_random,missed_benefit_minus_random_lo,missed_benefit_minus_random_hi,gain_minus_random,gain_minus_random_lo,gain_minus_random_hi
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_reg,0.5,478,955,246.6178238736764,True,0.10006297225253497,0.030907967621275588,0.13935644756948573,0.005185383455059756,0.0004913108210238245,0.014189545992670758,0.0957371678981076,0.026908760153354555,0.19748488289511243,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.0948775887974752,0.022623117773295492,0.13612968574783246,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.002060389014831132,-0.0597159232655367,0.039834375435778585,-0.020587958210005374,-0.06251674192437959,-0.004265986452171858,-0.002060389014831132,-0.03983437543577859,0.0597159232655367,0.022648347224836524,-0.03399614570134933,0.06569167096675889
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_clf,0.1,96,955,246.6178238736764,True,0.005552034105075716,0.0,0.035623558215584765,0.0002027428480822668,0.0,0.0007558155157324933,0.19024810604556683,0.08681901623132532,0.29723965278956066,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.00534929125699345,0.0,0.035618732397421894,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.014130493072371075,-0.027767782132198472,0.014787817457764602,-0.004973493134859684,-0.0139242951930589,-0.0008198694816485623,0.014130493072371075,-0.014787817457764614,0.02776778213219845,-0.009156999937511389,-0.02341726496300074,0.021847801689306286
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_clf,0.2,191,955,246.6178238736764,True,0.05663351925104698,0.006125946526683072,0.12251161171710188,0.01828064680208439,0.0,0.07154675713803346,0.13916662089959558,0.06100083135371717,0.21130437191544954,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.0383528724489626,-0.04045451740221691,0.10795055563381793,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.017473491220918465,-0.026648417772645615,0.06506093108729985,0.0079820939610228,-0.015342516476587709,0.049286191283913115,-0.017473491220918458,-0.06506093108729988,0.026648417772645618,0.00949139725989568,-0.05045744482298574,0.06542143551926986
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_clf,0.3,286,955,246.6178238736764,True,0.0606033371074676,0.009606724401428346,0.1259328212226632,0.01860165631154798,0.0,0.07281121295369598,0.13519680304317497,0.05499477749780559,0.20730515122921392,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.04200168079591962,-0.04041124482624487,0.11382767617644626,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.0019658082246573616,-0.04027283858615153,0.04891554828665358,0.0031807866123667525,-0.02265322881649969,0.03900408149104326,-0.001965808224657334,-0.048915548286653565,0.04027283858615151,-0.00121497838770937,-0.05748286213649574,0.05127827355659891
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_clf,0.5,478,955,246.6178238736764,True,0.09194490057632043,0.01067277035727689,0.18798505730528076,0.021936776162501267,0.0,0.08030870000186387,0.10385523957432212,0.03407258780843148,0.19404404577237833,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.07000812441381916,-0.04234710920470716,0.17274276460754925,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.006057682661383401,-0.0776300858798956,0.056679365977099744,-0.003836565502563862,-0.03504654965080245,0.024323854173838574,0.006057682661383387,-0.056679365977099744,0.07763008587989562,-0.0022211171588195078,-0.08122909338263283,0.07179555499829958
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_reg,0.1,96,955,246.6178238736764,True,0.030091653737652352,6.519681480540632e-05,0.09057315261479586,0.00038644842985755223,0.0,0.0010238177040286548,0.1657084864129902,0.0896713246477357,0.23829493473586696,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.029705205307794802,-0.0005926837015708434,0.09028231916719655,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.01040912656020556,-0.021141873112434803,0.06504850347934207,-0.004789787553084398,-0.013520191671526871,-0.0007146541675193775,-0.01040912656020554,-0.06504850347934207,0.021141873112434782,0.015198914113289963,-0.01608645265980747,0.07018733414584682
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_reg,0.2,191,955,246.6178238736764,True,0.081953732634702,0.0038840824817314564,0.19543517462912474,0.004719275851000373,0.00019260460798546083,0.01885052935684571,0.11384640751594055,0.042155687225771045,0.2006988414923319,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.07723445678370164,-0.0038758618568563905,0.18936546873896357,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.04279370460457348,-0.031082071293149,0.14030513668511232,-0.005579276990061216,-0.021793566430102423,0.0070447844414740736,-0.04279370460457349,-0.14030513668511235,0.03108207129314898,0.04837298159463472,-0.026313338937445176,0.14762486523227553
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_reg,0.3,286,955,246.6178238736764,True,0.10463462365987143,0.015985149763666284,0.20782453462926176,0.005282122369784447,0.0003303913112662108,0.020120341257916587,0.09116551649077113,0.0336980905851672,0.18200724675398783,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.09935250129008699,0.003999528431668172,0.20381507018680214,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.045997094777061195,-0.03399796411291354,0.1227781407907559,-0.01013874732939678,-0.03375073202564135,0.0045248092085750724,-0.04599709477706117,-0.122778140790756,0.03399796411291352,0.056135842106458,-0.01871258568090633,0.13701443152154721
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_reg,0.5,478,955,246.6178238736764,True,0.12845316694537548,0.04197829935467777,0.23530841782527062,0.015068682122734208,0.0010125867604439283,0.050615190742842785,0.06734697320526707,0.013115046574478852,0.14433076414002383,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.1133844848226413,0.004469205598143148,0.22103171972291907,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.030450583707671647,-0.03685560759662574,0.10121996187823129,-0.010704659542330922,-0.04634373615001088,0.011153569319845317,-0.03045058370767166,-0.1012199618782313,0.036855607596625706,0.041155243250002624,-0.025265492325184127,0.11663689104412886
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_clf,0.1,96,955,246.6178238736764,True,0.018445809338153193,0.0011382883702947722,0.04234769323273003,0.00018370558177528543,0.0,0.0006625229348157349,0.17735433081248936,0.07274797616877783,0.2909742975882384,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.01826210375637791,0.0007750583071719323,0.04206932702014805,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.0012367178392935982,-0.022782332367935865,0.027015554655501994,-0.004992530401166665,-0.013556960988348554,-0.0010347104505200374,0.0012367178392936051,-0.027015554655501997,0.022782332367935847,0.0037558125618730714,-0.01907561528731525,0.035551939471011006
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_clf,0.2,191,955,246.6178238736764,True,0.04874020592388781,0.004470178999915555,0.12491079222518621,0.00038644842985755223,0.0,0.0010767379363281011,0.14705993422675476,0.05925348761347054,0.2572383462556069,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.048353757494030265,0.004293210367585183,0.12412815349746248,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.009580177893759291,-0.03986904685514909,0.07976078469993049,-0.009912104411204038,-0.027205899280896874,-0.001825903364462254,-0.009580177893759284,-0.0797607846999305,0.039869046855149075,0.019492282304963346,-0.030606866214324152,0.09161155206793738
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_clf,0.3,286,955,246.6178238736764,True,0.08381309951350549,0.0065433565817187974,0.1982190632522364,0.000589191277939819,0.0,0.006840432978934256,0.11198704063713706,0.039363757859223795,0.1971732693916208,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.08322390823556568,0.005307231905684835,0.1977050636829459,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.025175570630695254,-0.047924931785242125,0.12278118158310472,-0.014831678421241407,-0.039870476981983365,-0.0019527712782967236,-0.02517557063069524,-0.12278118158310478,0.04792493178524212,0.040007249051936686,-0.032776226486494635,0.13940398928648326
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_clf,0.5,478,955,246.6178238736764,True,0.14129090332162084,0.03871567605205054,0.278841080113355,0.00407298921748677,0.0002895983989489389,0.014567563036013411,0.05450923682902173,0.0007248016033690503,0.1058015338081237,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.13721791410413406,0.03537515913941366,0.27532442630974274,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.043288320083917003,-0.02509435709074847,0.13362631693026858,-0.02170035244757836,-0.06290655232117881,-0.0005647183307053221,-0.043288320083917003,-0.13362631693026866,0.025094357090748462,0.06498867253149539,-0.006851163385366305,0.16618335279001203
2026-09-23.1,nuScenes,oracle,brake,J,R2_cnn_clf,0.1,96,955,246.6178238736764,True,0.0005676799746303469,0.0,0.01016014708554537,0.021607554149723367,0.0,0.07871921555507168,0.1952324601760122,0.09175015113074987,0.2998391424757164,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,-0.02103987417509302,-0.07491587344318007,0.0051772372671434015,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.019114847202816445,-0.02876396584421037,-0.005589592058303475,0.016431318166781415,-0.005082404304668271,0.06452297849771793,0.01911484720281645,0.005589592058303472,0.028763965844210353,-0.03554616536959786,-0.08492326556264357,-0.004647380616717711
2026-09-23.1,nuScenes,oracle,brake,J,R2_cnn_clf,0.2,191,955,246.6178238736764,True,0.003773646652994496,0.00013878175897599946,0.012293426761613893,0.022702365529367607,0.0005632538709323315,0.08328625711662789,0.19202649349764805,0.09086698668447937,0.29712520172398604,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,-0.018928718876373114,-0.07713220366160825,0.005694088013223701,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.03538638137713402,-0.05732165348220525,-0.012519558920079471,0.012403812688306018,-0.010610954210600786,0.05710235005578897,0.03538638137713401,0.012519558920079464,0.057321653482205255,-0.047790194065440036,-0.09725449308375857,-0.0116785015794548
2026-09-23.1,nuScenes,oracle,brake,J,R2_cnn_clf,0.3,286,955,246.6178238736764,True,0.003976389501076763,0.0004686194908955509,0.06082872623446554,0.02290510837744987,0.0006204739692659747,0.08363541686839444,0.1918237506495658,0.07645529620716289,0.29037011276574043,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,-0.018928718876373114,-0.07655760017307293,0.05008767792177387,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.054661139381733476,-0.0839801232652633,0.0067877166743158185,0.007484238678268643,-0.017329991492568714,0.04650149997955954,0.0546611393817335,-0.006787716674315833,0.0839801232652633,-0.0621453780600021,-0.1105975380069609,0.009870559025736367
2026-09-23.1,nuScenes,oracle,brake,J,R2_cnn_clf,0.5,478,955,246.6178238736764,True,0.08639859525067825,0.03614019724777421,0.14251837304114454,0.03454926045413972,0.0027574672732188226,0.1044272647861453,0.10940154489996431,0.029654231256804324,0.1953293465016221,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.05184933479653851,-0.040652615340916784,0.11494358099227524,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.011603987987025582,-0.05720047741933279,0.03373113157405163,0.008775918789074588,-0.015104621168141062,0.04304370981678191,0.011603987987025582,-0.03373113157405164,0.05720047741933282,-0.02037990677610016,-0.074368130449888,0.02711532209162599
2026-09-23.1,nuScenes,oracle,plan_ade,JC_ade,random,0.1,75,752,3015.1530604685695,True,0.002865667651610472,0.001640630195976859,0.004381559020817477,0.0029492245060063786,0.0018380028710611304,0.004546695390015611,0.02586742666853719,0.014683080526060734,0.03943301826227705,0.003112938891887509,0.000790748973045919,0.0073128379140169055,-8.355685439590695e-05,-0.001442768415205267,0.0012487867483745214,0.025620155428260155,0.014841647228458018,0.038154380513666236,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,plan_ade,JC_ade,random,0.2,150,752,3015.1530604685695,True,0.005731335303220944,0.0032667802048005116,0.008762631303917606,0.005898449012012757,0.0036955802475018133,0.009085752788505727,0.02300175901692672,0.013062962918533504,0.03504194366094122,1.8852581517693922e-17,-1.3717235704683186e-17,0.0008090782222385944,-0.0001671137087918139,-0.002904288863568554,0.0024994325359313334,0.028733094320147645,0.016323710722037598,0.043498306599022506,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,plan_ade,JC_ade,random,0.3,226,752,3015.1530604685695,True,0.00863521185685289,0.0049013779994809496,0.01314433942075902,0.008886996511432555,0.005538361850886367,0.013655283392457146,0.020097882463294775,0.011422332722556643,0.030651712207660164,1.8852581517693922e-17,-1.6156059724160598e-17,4.759413464498969e-17,-0.0002517846545796663,-0.004347057278773821,0.0037408725372217308,0.028733094320147645,0.016323710722037598,0.04379605162841919,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,plan_ade,JC_ade,random,0.5,376,752,3015.1530604685695,True,0.014366547160073833,0.008161584919052554,0.021887393525332935,0.014785445523445313,0.009215276255332095,0.02273844055050625,0.014366547160073833,0.008162125802985039,0.021891928181540222,1.8852581517693922e-17,-1.6156059724160598e-17,4.759413464498969e-17,-0.0004188983633714802,-0.007251346142342375,0.006233100024710445,0.028733094320147645,0.016323710722037598,0.04379605162841919,,,,,,,,,,,,
