track,geometry,system,target,architecture,objective,variant,quota,k,ndg,ndg_lo,ndg_hi,minus_random,minus_random_lo,minus_random_hi,boot_dropped,n_frames,n_units,budget_ms_feasible,budget_ms_escalated_frac,budget_ms_ndg,budget_mJ_feasible,budget_mJ_escalated_frac,budget_mJ_ndg,counterpart,minus_V,minus_V_lo,minus_V_hi
KITTI,mono,traj,JB,R2_cnn_clf,Q,,0.3,1061,-0.5598206210103159,-1.2639362035966475,0.08858089340632463,-0.4304593293043424,-0.752759078934673,-0.18106023629937876,8,3536,6,True,0.03920713491760384,-0.19507832782425163,True,0.06433421244540062,-0.32088971316018206,R2_cnn_clf|V,-0.3308567515287525,-0.9009063709575283,0.1984503129283891
KITTI,mono,traj,JB,R2_cnn_clf,Q,,0.5,1768,-0.8432515410096939,-1.4229115942826767,0.3885634321683927,-0.47949142652544474,-0.7602390169304675,-0.04502784368112972,8,3536,6,True,0.23920713491760384,-0.6222439306232912,True,0.2643342124454006,-0.62124829249367,R2_cnn_clf|V,-0.44726994143031856,-0.9017432602667944,0.27895527902165784
KITTI,mono,traj,JB,R2_cnn_clf,G,,0.1,354,-0.010748157132312202,-0.043986644651101914,0.0658846061442225,0.01769117550853951,-0.1168020406264495,0.1922623150244829,8,3536,6,False,,,False,,,R2_cnn_clf|V,0.07774721486185479,-0.03831262890605299,0.2421811977766044
KITTI,mono,traj,JB,R2_cnn_clf,G,,0.2,707,0.03589160690768581,-0.0801241339966883,0.09505860388558172,0.06733019408115268,-0.20923962862103687,0.42211699957352766,8,3536,6,False,,,False,,,R2_cnn_clf|V,0.1965219886769927,-0.01468019440685951,0.4299140244359516
KITTI,mono,traj,JB,R2_cnn_clf,G,,0.3,1061,0.10284161125523093,-0.12610511949437891,0.13044139567830926,0.09631233669117774,-0.2855125530998023,0.6019070005166692,8,3536,6,True,0.03920713491760384,0.05722922805978573,True,0.06433421244540062,-0.006176279524269829,R2_cnn_clf|V,0.19591491446676762,-0.15158094802265762,0.6206416749599319
KITTI,mono,traj,JB,R2_cnn_clf,G,,0.5,1768,-0.21163697473842832,-0.6959671407677185,0.36051757868447626,0.012954520290082986,-0.43283227329173857,0.6304579489611518,8,3536,6,True,0.23920713491760384,0.03352651422618653,True,0.2643342124454006,0.035504810923493134,R2_cnn_clf|V,0.04517600538520921,-0.34729396393787926,0.5827034018658881
KITTI,mono,traj,JB,R1_gbm_reg <-> R2_cnn_clf,G,budget-adaptive (Geng Eq. 8),0.1,354,0.18959086647188675,-0.0036839755394832857,0.673798284634002,0.2624896267064757,0.020030427166888173,0.584639725560337,8,3536,6,False,,,False,,,R1_gbm_reg|V,0.13006226969075327,-0.21495318073520212,0.662862870238839
KITTI,mono,traj,JB,R1_gbm_reg <-> R2_cnn_clf,G,budget-adaptive (Geng Eq. 8),0.2,707,0.25932740106619634,-0.2124980969599125,0.7894227320904885,0.32001338173262356,0.0313235753000389,0.6509154411093665,8,3536,6,False,,,False,,,R1_gbm_reg|V,0.19378186976061346,-0.41204319622612495,0.802210970261761
KITTI,mono,traj,JB,R1_gbm_reg <-> R2_cnn_clf,G,budget-adaptive (Geng Eq. 8),0.3,1061,0.07781257422555589,-0.4634184542228995,0.7784627356394096,0.2095612796215048,-0.06598956965238695,0.5582873991095116,8,3536,6,False,,,False,,,R1_gbm_reg|V,0.10636950672847093,-0.48508660052922503,0.8750672339603857
KITTI,mono,traj,JB,R1_gbm_reg <-> R2_cnn_clf,G,budget-adaptive (Geng Eq. 8),0.5,1768,-0.4369291958250654,-1.1566560748262504,0.7358033075372595,-0.08918374347292343,-0.4794258871754287,0.3645898847190123,8,3536,6,False,,,False,,,R1_gbm_reg|V,-0.13064201086668972,-0.8397775921220786,0.7218235073689938
