group,file,item,statistic,old,new,delta,note
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,harm_rate,0.4046511627906977,0.3697478991596639,-0.0349032636310338,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,rho,0.4141534305013271,0.3384817201866347,-0.07567171031469239,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,all_full_reduction,0.157552199400772,0.1712808417346331,0.01372864233386109,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,oracle20_reduction,0.2689308218286483,0.2589207992603876,-0.010010022568260724,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,harm_rate_lo,0.3363870000966775,0.2999701195219123,-0.036416880574765165,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,harm_rate_hi,0.4710955970784078,0.4325856099947316,-0.0385099870836762,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,rho_lo,0.2771608567694049,0.2329316743183775,-0.04422918245102739,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S2 | all,rho_hi,0.6131554133126454,0.4852072110224691,-0.12794820229017634,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,affected,451,253,-198.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,harm_rate,0.4190687361419069,0.375494071146245,-0.04357466499566187,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,rho,0.4538697921448468,0.3656382484470586,-0.08823154369778818,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,all_full_reduction,0.1485622607131441,0.1700423274727835,0.0214800667596394,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,oracle20_reduction,0.2720271806545936,0.2680526167545781,-0.003974563900015493,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,harm_rate_lo,0.3492055293191656,0.3052561766708044,-0.043949352648361195,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,harm_rate_hi,0.4805201121835363,0.4359126984126984,-0.04460741377083788,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,rho_lo,0.2964067825673993,0.2367292530631719,-0.05967752950422736,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S3 | all,rho_hi,0.6715813334547084,0.5326540287102084,-0.1389273047445,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,affected,406,232,-174.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,harm_rate,0.5197044334975369,0.4051724137931034,-0.1145320197044335,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,rho,0.5164882434612922,0.4516298392091009,-0.0648584042521913,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,all_full_reduction,0.1273804837031442,0.1305470074109676,0.0031665237078234154,outside Task 22 tolerance
