geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
oracle,plan,gbm (OOF by scene) [escalate only pred>0],True,0.2,0.07888936798311619,531.0,0,2655,-0.0629427886981273,0.20718655862317167,0.024217910241139506,-0.08517028079067929,0.13458702657831284,0.3325,-0.05139257364093705,-0.21126046872502507,0.09704904435461084
oracle,plan,random,True,0.3,0.08887990418798777,796.0,0,2655,,,,,,,,,
oracle,plan,unc_sum (eta-table uncertainty),True,0.3,0.1286186888916943,796.0,0,2655,-0.018339535633655403,0.2608286191447102,0.03866938448905364,-0.07893219975095592,0.17420756618793262,0.265,,,
oracle,plan,feat_ent_mean (gate uncertainty),True,0.3,0.16763763028967277,796.0,0,2655,0.04053749287315866,0.28819007365150306,0.07706251192238481,-0.027278823300715644,0.18654198067708325,0.0675,0.03839312743333116,-0.11007419844589393,0.18412291016895016
oracle,plan,crit_sum (GT geometry),False,0.3,0.06502318411150756,796.0,0,2655,-0.2064213156880727,0.22799242575370057,-0.0375460699586063,-0.23189215904161373,0.11714436920103696,0.64,-0.07621545444765994,-0.3083158840280886,0.10399057221469798
oracle,plan,dE_E6_risk_weighted (needs FULL),False,0.3,0.19591854006218432,796.0,0,2655,-0.05776301239996504,0.3930202124274476,0.10366044194889178,-0.08983584208337327,0.26100362648506803,0.12,0.06499105745983813,-0.15679098507224928,0.2511434245857169
oracle,plan,linear (OOF by scene),True,0.3,0.1509508013680846,796.0,0,2655,-0.058508430908695966,0.31283781191700555,0.06644379630837313,-0.07604919834230175,0.2004127171814945,0.15,0.0277744118193195,-0.13217879847336325,0.18456044419094578
oracle,plan,linear (OOF by scene) [escalate only pred>0],True,0.3,0.1509508013680846,796.0,0,2655,-0.058508430908695966,0.31283781191700555,0.06644379630837313,-0.07604919834230175,0.2004127171814945,0.15,0.0277744118193195,-0.13217879847336325,0.18456044419094578
oracle,plan,gbm (OOF by scene),True,0.3,0.1249189653874292,796.0,0,2655,-0.043482352274268804,0.27642839917557244,0.03133556566536778,-0.10448540911837392,0.1705187079842517,0.3275,-0.007333818823685856,-0.17994958262864527,0.15797516801260847
oracle,plan,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.1249189653874292,796.0,0,2655,-0.043482352274268804,0.27642839917557244,0.03133556566536778,-0.10448540911837392,0.1705187079842517,0.3275,-0.007333818823685856,-0.17994958262864527,0.15797516801260847
mono,brake,random,True,0.1,0.05936745446991112,338.0,0,3376,,,,,,,,,
mono,brake,unc_sum (eta-table uncertainty),True,0.1,0.1750358811701873,338.0,0,3376,0.014953260874632019,0.3856703767307596,0.10283894501688633,-0.046974251386963845,0.32928754758126233,0.1575,,,
mono,brake,feat_ent_mean (gate uncertainty),True,0.1,0.10363612617008464,338.0,0,3376,0.042128017213901005,0.19981676483782881,0.05150318743066133,-0.012607729621429826,0.13536150616821055,0.08,-0.051335757586224995,-0.31767970461507417,0.14911792310692876
