setting,system,side,term,n_inputs,n_side,total,term_sum,share,n_side_term_nonzero,core_run,planner_b_run
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,harm,collision,3376,108,167.83645092128364,-0.0,-0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,harm,excess,3376,108,167.83645092128364,155.79965663339482,0.9282825976013152,108,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,harm,jerk,3376,108,167.83645092128364,3.6699999999999995,0.021866525298019156,107,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,benefit,shortfall,3376,165,412.3461753884084,234.7601628637753,0.5693278533325635,129,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,benefit,collision,3376,165,412.3461753884084,0.0,0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,benefit,excess,3376,165,412.3461753884084,174.87601252463304,0.4240999988902747,164,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono,brake,benefit,jerk,3376,165,412.3461753884084,2.7100000000000004,0.006572147777161563,163,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,harm,shortfall,3376,50,92.0658427731318,11.720695522739497,0.1273077524703877,17,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,harm,collision,3376,50,92.0658427731318,-0.0,-0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,harm,excess,3376,50,92.0658427731318,78.49514725039228,0.8525979330229957,50,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,harm,jerk,3376,50,92.0658427731318,1.8499999999999999,0.02009431450661632,49,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,benefit,shortfall,3376,91,220.16703785983822,164.50346550098155,0.7471757221247035,71,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,benefit,collision,3376,91,220.16703785983822,0.0,0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,benefit,excess,3376,91,220.16703785983822,55.43357235885672,0.2517796165025693,88,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle,brake,benefit,jerk,3376,91,220.16703785983822,0.22999999999999987,0.0010446613727274718,89,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,harm,collision,8008,257,1312.8209073967282,830.0,0.6322263724805062,83,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,harm,clearance,8008,257,1312.8209073967282,459.90991578566116,0.35032190087347426,100,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,harm,progress,8008,257,1312.8209073967282,12.951616611067161,0.009865486250329226,254,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,harm,acceleration,8008,257,1312.8209073967282,2.5875,0.0019709466732449514,254,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,harm,lateral,8008,257,1312.8209073967282,4.5,0.0034277333447738285,4,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,harm,switching,8008,257,1312.8209073967282,2.871875,0.0021875603776716312,253,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,benefit,collision,8008,260,1721.8462686189573,1110.0,0.6446568548133502,111,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,benefit,clearance,8008,260,1721.8462686189573,616.9534929346205,0.35830927776697563,128,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,benefit,progress,8008,260,1721.8462686189573,-2.0384743156634335,-0.0011838886855435906,260,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,benefit,acceleration,8008,260,1721.8462686189573,-3.375000000000001,-0.001960105301797349,260,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,benefit,lateral,8008,260,1721.8462686189573,1.125,0.0006533684339324495,1,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_cheap_320tort_full_640__mono,traj,benefit,switching,8008,260,1721.8462686189573,-0.8187500000000001,-0.000475507026917505,254,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,harm,collision,8008,128,722.4661105668633,470.0,0.6505495456821183,47,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,harm,clearance,8008,128,722.4661105668633,248.79083851027542,0.3443633339632616,57,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,harm,progress,8008,128,722.4661105668633,1.5896470565879335,0.0022003067456557376,128,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,harm,acceleration,8008,128,722.4661105668633,0.15749999999999997,0.0002180033052019864,128,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,harm,lateral,8008,128,722.4661105668633,1.125,0.0015571664657284747,1,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,harm,switching,8008,128,722.4661105668633,0.803125,0.001111643838033939,126,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,benefit,collision,8008,167,1247.9214537783969,800.0,0.6410659882301072,80,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,benefit,clearance,8008,167,1247.9214537783969,447.45060313728186,0.35855670385544886,95,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,benefit,progress,8008,167,1247.9214537783969,1.3808506411149262,0.0011065204760556465,166,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,benefit,acceleration,8008,167,1247.9214537783969,-3.360000000000001,-0.002692477150566451,166,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,benefit,lateral,8008,167,1247.9214537783969,2.25,0.0018029980918971764,2,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RTDETRl__rt_mid_480tort_full_640__mono,traj,benefit,switching,8008,167,1247.9214537783969,0.2,0.0001602664970575268,166,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,harm,collision,8008,328,1027.250841732824,600.0,0.584083240066162,60,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,harm,clearance,8008,328,1027.250841732824,343.2379539964414,0.3341325604732029,85,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,harm,progress,8008,328,1027.250841732824,25.038512736382536,0.024374292742506957,321,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,harm,acceleration,8008,328,1027.250841732824,44.864999999999995,0.04367482427594725,321,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,harm,lateral,8008,328,1027.250841732824,7.875,0.007666092525868376,7,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,harm,switching,8008,328,1027.250841732824,6.234375,0.006068989916312464,325,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,benefit,collision,8008,350,3636.6601175180185,2390.0,0.6571964172530782,239,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,benefit,clearance,8008,350,3636.6601175180185,1342.1274760070157,0.3690549659952834,266,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,benefit,progress,8008,350,3636.6601175180185,-28.449233488997542,-0.007822901390194759,346,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,benefit,acceleration,8008,350,3636.6601175180185,-58.702500000000015,-0.016141871415815412,346,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,benefit,lateral,8008,350,3636.6601175180185,7.875,0.0021654484459698703,6,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,traj,benefit,switching,8008,350,3636.6601175180185,-16.190625,-0.004452058888321389,343,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,harm,collision,8008,14,19.751631814712322,10.0,0.5062872826816941,1,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,harm,clearance,8008,14,19.751631814712322,10.084665394504198,0.5105737839337645,8,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,harm,progress,8008,14,19.751631814712322,0.11446642020813097,0.005795289284547559,14,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,harm,acceleration,8008,14,19.751631814712322,-0.51,-0.0258206514167664,14,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,harm,lateral,8008,14,19.751631814712322,-0.0,-0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,harm,switching,8008,14,19.751631814712322,0.0625,0.003164295516760588,14,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,benefit,collision,8008,449,5818.481738686214,3860.0,0.6634033023315065,386,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,benefit,clearance,8008,449,5818.481738686214,2176.968767060189,0.3741472199845278,420,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,benefit,progress,8008,449,5818.481738686214,-53.86265337397447,-0.009257166352495317,442,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,benefit,acceleration,8008,449,5818.481738686214,-131.60250000000002,-0.022618013755202615,442,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,benefit,lateral,8008,449,5818.481738686214,-9.0,-0.0015467952645035125,13,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,traj,benefit,switching,8008,449,5818.481738686214,-24.021875,-0.0041285469438328126,447,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,harm,collision,8008,223,954.9020067926901,600.0,0.6283367253727642,60,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,harm,clearance,8008,223,954.9020067926901,335.124825856234,0.35095205944937324,75,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,harm,progress,8008,223,954.9020067926901,6.834055936456165,0.007156813880211945,220,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,harm,acceleration,8008,223,954.9020067926901,9.015,0.009440759298725784,220,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,harm,lateral,8008,223,954.9020067926901,3.375,0.003534394080221799,3,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,harm,switching,8008,223,954.9020067926901,0.5531250000000001,0.0005792479187030172,218,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,benefit,collision,8008,235,2082.28322535583,1350.0,0.6483267903045734,135,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,benefit,clearance,8008,235,2082.28322535583,747.6450449253251,0.35905060167670716,163,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,benefit,progress,8008,235,2082.28322535583,-6.521194569495208,-0.003131751958661069,234,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,benefit,acceleration,8008,235,2082.28322535583,-10.9875,-0.005276659709978889,234,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,benefit,lateral,8008,235,2082.28322535583,2.25,0.0010805446505076225,2,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,traj,benefit,switching,8008,235,2082.28322535583,-0.10312500000000024,-4.952496314826614e-05,228,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,harm,collision,8008,143,1014.6624118153817,650.0,0.6406071540947826,65,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,harm,clearance,8008,143,1014.6624118153817,365.55404291004766,0.3602715924560734,72,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,harm,progress,8008,143,1014.6624118153817,0.6127439053340462,0.000603889429823025,143,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,harm,acceleration,8008,143,1014.6624118153817,-1.8075,-0.0017813806631174149,143,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,harm,lateral,8008,143,1014.6624118153817,-0.0,-0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,harm,switching,8008,143,1014.6624118153817,0.303125,0.00029874468243843225,143,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,benefit,collision,8008,123,910.7148490707873,590.0,0.647842736507463,59,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,benefit,clearance,8008,123,910.7148490707873,323.2050340084262,0.3548915825169601,71,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,benefit,progress,8008,123,910.7148490707873,-0.7270599376388575,-0.0007983398298388183,123,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,benefit,acceleration,8008,123,910.7148490707873,-1.4475000000000002,-0.0015894107815161913,123,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,benefit,lateral,8008,123,910.7148490707873,0.0,0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_512tofull_640__mono,traj,benefit,switching,8008,123,910.7148490707873,-0.31562500000000004,-0.00034656841306808143,122,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
