group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
nuScenes oracle,nuScenes,oracle,brake/J,plan_ade/JC_ade,False,R1_gbm_clf,0.5,1.0,752.0,24.0,10.470342914232626,-1.2630426823447936,11.73338559657742,0.003472574262152212,0.12085625806466806,,,,-0.03697542699215782,0.15783168505682588,-4.253585608426064,28.847413229544983,False,-4.253585608426064,False,0.0,-0.0014107362124312975,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_ridge,0.1,1.0,752.0,24.0,-14.916503731910293,8.123875695172726,-23.040379427083018,-0.0025655206054837083,-0.05428473984665193,,,,0.03540876796386835,-0.08969350781052027,-51.83106019143239,-0.1774678500142422,False,-51.83106019143239,False,0.0,-0.008914532206412473,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_ridge,0.2,1.0,752.0,24.0,-13.88030220824934,16.247751390345453,-30.128053598594793,-0.0023873021430233137,-0.050513753618806466,,,,0.029979351467357293,-0.08049310508616375,-64.20182993217203,0.07833583805304609,False,-64.20182993217203,False,0.0,-0.011042206710168147,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_ridge,0.3,1.0,752.0,24.0,-14.315973491224646,24.479945428120484,-38.79591891934513,-0.0024622341561665526,-0.05209926606059786,,,,-0.03659351943047838,-0.015505746630119478,-87.19723065961938,0.7182236940669573,False,-87.19723065961938,False,0.0,-0.014997233669429061,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_ridge,0.5,1.0,752.0,24.0,12.250390764670886,40.72769681846594,-28.47730605379505,0.002106970272447721,0.04458211439034189,,,,0.0669723709760428,-0.022390256585700916,-114.54551500498813,59.195376096357286,False,-114.54551500498813,False,0.0,-0.01970092216598841,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_gbm,0.1,1.0,752.0,24.0,-31.07223579373211,8.123875695172726,-39.19611148890483,-0.005344178677523061,-0.11307932923371172,,,,-0.01328344100306386,-0.09979588823064786,-106.22500546778153,11.235816109322577,False,-106.22500546778153,False,0.0,-0.018269860366958275,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_gbm,0.2,1.0,752.0,24.0,-19.01954657442679,16.247751390345453,-35.26729796477224,-0.003271211506437912,-0.06921669825250759,,,,0.12469626769972209,-0.19391296595222968,-104.40835965442194,12.147159698788865,False,-104.40835965442194,False,0.0,-0.01795741166243582,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_gbm,0.3,1.0,752.0,24.0,-26.22742524224182,24.479945428120484,-50.70737067036231,-0.004510909600338214,-0.09544789997114664,,,,0.11220797010038654,-0.2076558700715332,-119.89100063284698,4.221875433111667,False,-119.89100063284698,False,0.0,-0.02062030339439592,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,gate_gbm,0.5,1.0,752.0,24.0,25.300930386012464,40.72769681846594,-15.426766432453473,0.00435155981655167,0.09207616265631738,,,,0.12273991433807198,-0.0306637516817546,-89.7427817733001,54.060690557368765,False,-89.7427817733001,False,0.0,-0.01543504831767596,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_reg,0.1,1.0,752.0,24.0,-3.939282754063708,8.123875695172726,-12.063158449236434,-0.0006775254615970777,-0.014335996110756508,,,,0.07267983790388434,-0.08701583401464084,-46.72406479710377,21.21602989896908,False,-46.72406479710377,False,0.0,-0.008036169410965195,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_reg,0.2,1.0,752.0,24.0,7.257128947768752,16.247751390345453,-8.9906224425767,0.0012481687523279068,0.026410435316720285,,,,0.036766717039598974,-0.01035628172287869,-85.08278076512858,85.75680509600735,False,-85.08278076512858,False,0.0,-0.014633565019517873,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_reg,0.3,1.0,752.0,24.0,-7.696386123338035,24.479945428120484,-32.17633155145852,-0.001323717510621634,-0.028008997682949784,,,,0.11473647675225888,-0.14274547443520866,-149.94135259941498,73.34992543307693,False,-149.94135259941498,False,0.0,-0.025788726139958085,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_reg,0.5,1.0,752.0,24.0,31.888270062681986,40.72769681846594,-8.83942675578395,0.005484530114387793,0.11604907394011578,,,,0.13417540227546623,-0.018126328335350453,-123.28706968472831,63.9223213818844,False,-123.28706968472831,False,0.0,-0.021204400397744523,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_clf,0.1,1.0,752.0,24.0,30.38358799098484,8.123875695172726,22.259712295812115,0.005225736704818044,0.11057317447452832,,,,-0.042341238301168004,0.1529144127756963,-33.97674253571598,75.19707084598176,False,-33.97674253571598,False,0.0,-0.0058437308533714205,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_clf,0.2,1.0,752.0,24.0,16.18142394216578,16.247751390345453,-0.06632744817967406,0.0027830768721550294,0.05888808831051461,,,,-0.04735201316023637,0.10624010147075098,-50.9722313179303,64.9625274097631,False,-50.9722313179303,False,0.0,-0.008766820436204522,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_clf,0.3,1.0,752.0,24.0,6.373722568536126,24.479945428120484,-18.106222859584356,0.0010962298456195846,0.023195507319020224,,,,-0.08304459415173075,0.10624010147075097,-67.00102859413379,58.951266051273144,False,-67.00102859413379,False,0.0,-0.011523646729570442,,,,,,
nuScenes oracle,nuScenes,oracle,brake/J,plan_fde/JC_fde,False,R1_mlp_clf,0.5,1.0,752.0,24.0,44.54712813664196,40.72769681846594,3.819431318176022,0.007661753531773616,0.162117698977935,,,,-0.016724703653004415,0.1788424026309394,-71.06227037922056,80.37655311763139,False,-71.06227037922056,False,0.0,-0.012222148179424418,,,,,,
