status,track,geometry,system,target,architecture,kind,label,quota,k,ndg,minus_random,boot_dropped,minus_random_lo,minus_random_hi,minus_V,minus_V_lo,minus_V_hi,minus_rankV,minus_rankV_lo,minus_rankV_hi,minus_secdfV,minus_secdfV_lo,minus_secdfV_hi,pooled_against,n_cells,note
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_reg,regression,G,0.5,1768.0,0.7031503248828856,0.19652963461292225,85.0,0.020813726243333393,0.36359587033291635,-0.10497731466977334,-0.4062759641636073,0.11511471076466029,-0.0430321579997075,-0.41686182275297967,0.24424801112790806,-0.1696061264119556,-0.4209237045420028,0.025761444096959643,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,V,0.1,354.0,0.2685357478809689,0.18821457508259615,85.0,0.06744549513629094,0.4175293136390703,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,V,0.2,707.0,0.4221724711836316,0.28393814466914213,85.0,0.06558847845894611,0.6414451566815109,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,V,0.3,1061.0,0.6816133278131569,0.36366286543764353,85.0,0.10372206453285093,0.6573160491934329,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,V,0.5,1768.0,0.8670747249249658,0.34894784339253154,85.0,0.12291149766154574,0.4686585432484531,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,Q,0.1,354.0,0.09627476122163692,0.0019956791822884675,85.0,-0.09850742753129633,0.23128736827214452,-0.17226098665933198,-0.4962983515900058,0.1542434760506178,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,Q,0.2,707.0,0.30666756079019414,0.05719234790945155,85.0,-0.19089612039932008,0.3257368578351794,-0.11550491039343747,-0.8356912660634003,0.2432850971022774,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,Q,0.3,1061.0,0.39590668978427174,0.12420524417181215,85.0,-0.2571787198374913,0.3512686376817349,-0.28570663802888513,-0.9105169446249765,0.19617841988525864,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,Q,0.5,1768.0,0.7208739443731554,0.2306263506046685,85.0,0.18602996717120385,0.2996259591590302,-0.1462007805518104,-0.26921508030300245,0.09365649992274629,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,G,0.1,354.0,0.0008627001598196097,-0.07656167586600209,85.0,-0.09971291661554355,0.06650604104853149,-0.2676730477211493,-0.5137703527629099,-0.019563587958224965,,,,,,,,,
