pair,geometry,system,n,latency_added_s,affected,harmed,rho,all_full,oracle20,n_frames,dets_per_frame_cheap,dets_per_frame_full,harmed_ratio_to_n1,rho_ratio_to_n1,reading,settings,section,reference,shipped_affected,shipped_harmed,shipped_rho,shipped_all_full,shipped_oracle20,reproduced_3dp
YOLOv8s 320->640,mono,q_traj,1,0.0,1355.0,0.35202952029520296,0.06219486441839134,0.424294266112015,0.4524332934569339,8008.0,3.6225024975024973,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 320->640,mono,q_brake,2,0.1,2924.0,0.38679890560875513,0.14969606243998454,0.5554107206096606,0.6527004478891546,8008.0,3.109265734265734,5.36963036963037,0.9500434158864391,0.781604087483191,,,,,,,,,,
YOLOv8s 320->640,mono,q_traj,2,0.1,1334.0,0.34332833583208394,0.04671525013071882,0.4772399742732028,0.5006268844001154,8008.0,3.109265734265734,5.36963036963037,0.9752827988521462,0.7511110534217176,,,,,,,,,,
YOLOv8s 320->640,mono,q_brake,3,0.2,2783.0,0.36543298598634566,0.11955657882938128,0.5808326219430363,0.6593227370988238,8008.0,2.622002997002997,4.5576923076923075,0.8975651100606186,0.6242375996764421,mitigates,,,,,,,,,
YOLOv8s 320->640,mono,q_traj,3,0.2,1338.0,0.3325859491778774,0.04475274658518952,0.49670437912472787,0.5199746739381994,8008.0,2.622002997002997,4.5576923076923075,0.9447672141216434,0.7195569441896862,no material change,,,,,,,,,
YOLOv8s 320->640,oracle,q_brake,1,0.0,1846.0,0.3412784398699892,0.09109588298414505,0.6752883148104513,0.742969805250284,8008.0,3.6225024975024973,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 320->640,oracle,q_traj,1,0.0,779.0,0.09499358151476252,0.004000053212079966,0.6896389125273614,0.692408583706688,8008.0,3.6225024975024973,6.131993006993007,1.0,1.0,,,,,,,,,,
YOLOv8s 320->640,oracle,q_brake,2,0.1,1717.0,0.2987769365171811,0.06267883374214787,0.7121155540947005,0.7597348483420466,8008.0,3.109265734265734,5.36963036963037,0.8754638489058989,0.6880534189789557,,,,,,,,,,
YOLOv8s 320->640,oracle,q_traj,2,0.1,772.0,0.07512953367875648,0.0007391545841241784,0.7393775699736642,0.7399244885512825,8008.0,3.109265734265734,5.36963036963037,0.7908906315642067,0.1847861878166939,,,,,,,,,,
YOLOv8s 320->640,oracle,q_brake,3,0.2,1623.0,0.2692544670363524,0.047481586251182956,0.7184174248739659,0.7542294348373765,8008.0,2.622002997002997,4.5576923076923075,0.7889583272208041,0.521226478033557,mitigates,,,,,,,,,
YOLOv8s 320->640,oracle,q_traj,3,0.2,824.0,0.08737864077669903,0.006859066452080247,0.7370416479975797,0.7421319805685149,8008.0,2.622002997002997,4.5576923076923075,0.9198373130411965,1.7147438017489867,no material change,,,,,,,,,
