architecture,label,track,geometry,system,target,quota,minus_V_before,minus_V_lo_before,minus_V_hi_before,status_before,minus_V_after,minus_V_lo_after,minus_V_hi_after,status_after
R1_gbm_reg,secdfV,nuScenes,oracle,brake,J,0.3,-0.13524872560563422,-0.32976357279711366,0.08061474249999247,post-hoc (decided after Task 24's test results were seen),-0.0955783188767031,-0.3903112979279219,1.1102230246251565e-16,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,nuScenes,oracle,brake,J,0.5,-0.05728396545539283,-0.42327574975915244,0.25285888087631536,post-hoc (decided after Task 24's test results were seen),-0.11834806043958501,-0.5276502846693404,0.1954361448359574,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,oracle,brake,J,0.1,-0.05952110152904834,-0.33939818956189416,0.2952379345894342,post-hoc (decided after Task 24's test results were seen),0.06566466189984552,-0.29617373435151234,0.29170860227476125,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,oracle,brake,J,0.2,-0.30071793716946316,-0.6838482447958497,0.3265165659107788,post-hoc (decided after Task 24's test results were seen),-0.10682440663962518,-0.5956349478699596,0.3153220169737991,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,oracle,brake,J,0.3,-0.216357636800038,-0.7113066619909324,0.49250432578164405,post-hoc (decided after Task 24's test results were seen),-0.22198881529868736,-0.7481446479709041,0.46864913728293106,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,nuScenes,oracle,brake,J,0.5,-0.1308303534032076,-0.5004456529199199,0.4136329375233343,post-hoc (decided after Task 24's test results were seen),-0.09337768496507876,-0.5548637425391907,0.5045289996210188,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,oracle,brake,J,0.1,0.011845623394814181,-0.31480194681039453,0.6015874430553901,post-hoc (decided after Task 24's test results were seen),0.1359434862831937,-0.25043995679943026,0.5534851631841046,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,oracle,brake,J,0.2,0.054469050056367097,-0.32642827671518343,0.5942486525170038,post-hoc (decided after Task 24's test results were seen),0.25197524569125684,-0.28369181616781797,0.614017138029657,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,oracle,brake,J,0.3,0.0666468361259357,-0.29615408793394443,0.5966910815177487,post-hoc (decided after Task 24's test results were seen),0.0604173686024031,-0.3253736005366242,0.5663692803624217,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,nuScenes,oracle,brake,J,0.5,0.01413090195771427,-0.47640746142298657,0.6081225631934782,post-hoc (decided after Task 24's test results were seen),0.054523973118535185,-0.5082117845828327,0.6988041755324368,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,plan_ade,JC_ade,0.1,-0.07656728236124538,-0.3676951737818801,0.14221829787541054,post-hoc (decided after Task 24's test results were seen),-0.07656728236124538,-0.3676951737818801,0.14221829787541054,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,plan_ade,JC_ade,0.2,-0.0463146741790261,-0.23485785192015793,0.21228471733477483,post-hoc (decided after Task 24's test results were seen),-0.0463146741790261,-0.23485785192015793,0.21228471733477483,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,plan_ade,JC_ade,0.3,0.2678377016525997,-0.036716642484099095,0.4692596282993539,post-hoc (decided after Task 24's test results were seen),0.2678377016525997,-0.036716642484099095,0.4692596282993539,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,nuScenes,oracle,plan_ade,JC_ade,0.5,0.19978797756016944,-0.023423479370801373,0.442910624856894,post-hoc (decided after Task 24's test results were seen),0.19978797756016944,-0.023423479370801373,0.442910624856894,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,plan_ade,JC_ade,0.1,-0.02252844956005963,-0.24887122215317423,0.16050539284038312,post-hoc (decided after Task 24's test results were seen),-0.02252844956005963,-0.24887122215317423,0.16050539284038312,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,plan_ade,JC_ade,0.2,-0.04353867994600322,-0.25366369042256626,0.23333970491034703,post-hoc (decided after Task 24's test results were seen),-0.04353867994600322,-0.25366369042256626,0.23333970491034703,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,nuScenes,oracle,plan_ade,JC_ade,0.3,0.24782627936152057,-0.03396114021091083,0.4303277411559173,post-hoc (decided after Task 24's test results were seen),0.24782627936152057,-0.03396114021091083,0.4303277411559173,post-hoc (decided after Task 24's test results were seen)
