track,pair,mode,band,n,bias_cam,bias_ego,mae_cam,mae_ego
KITTI,Y8 320->640,cheap,,32,7.726998388767242,8.754392921924591,7.726998388767242,8.754392921924591
KITTI,Y8 320->640,cheap,0-15,10855,0.2869138717651367,1.264272689819336,0.7994165420532227,1.2899055480957031
KITTI,Y8 320->640,cheap,15-30,7437,0.424407958984375,1.7810802459716797,2.6452693939208984,2.298490524291992
KITTI,Y8 320->640,cheap,30-50,2610,-2.056036949157715,1.977090835571289,6.422719955444336,4.167271614074707
KITTI,Y8 320->640,cheap,>50,92,-6.9828033447265625,-5.54387092590332,7.623329162597656,6.479360580444336
KITTI,Y8 320->640,full,,34,7.1273656487464905,8.105311453342438,7.1273656487464905,8.105311453342438
KITTI,Y8 320->640,full,0-15,11983,0.29224491119384766,1.2643117904663086,0.7637271881103516,1.2879905700683594
KITTI,Y8 320->640,full,15-30,11472,1.0756473541259766,2.237598419189453,2.680612564086914,2.4928035736083984
KITTI,Y8 320->640,full,30-50,6599,-0.8451251983642578,3.1206092834472656,6.217327117919922,4.633832931518555
KITTI,Y8 320->640,full,>50,1966,-2.9480056762695312,2.8974761962890625,7.589511871337891,7.277959823608398
KITTI,Y8 384->640,cheap,,33,8.012387156486511,8.758979082107544,8.012387156486511,8.758979082107544
KITTI,Y8 384->640,cheap,0-15,11492,0.3292241096496582,1.2726376056671143,0.7971634864807129,1.3010578155517578
KITTI,Y8 384->640,cheap,15-30,9115,0.7717266082763672,2.0658111572265625,2.6705188751220703,2.406923294067383
KITTI,Y8 384->640,cheap,30-50,4208,-1.7350807189941406,2.655454635620117,6.759479522705078,4.709504127502441
KITTI,Y8 384->640,cheap,>50,334,-8.705501556396484,-3.783731460571289,9.561763763427734,5.898658752441406
KITTI,Y8 384->640,full,,34,7.1273656487464905,8.105311453342438,7.1273656487464905,8.105311453342438
KITTI,Y8 384->640,full,0-15,11983,0.29224491119384766,1.2643117904663086,0.7637271881103516,1.2879905700683594
KITTI,Y8 384->640,full,15-30,11472,1.0756473541259766,2.237598419189453,2.680612564086914,2.4928035736083984
KITTI,Y8 384->640,full,30-50,6599,-0.8451251983642578,3.1206092834472656,6.217327117919922,4.633832931518555
KITTI,Y8 384->640,full,>50,1966,-2.9480056762695312,2.8974761962890625,7.589511871337891,7.277959823608398
